iter	RMSE
0	12.5753825
1	9.172436528
2	6.666665324
3	5.036125241
4	3.822314393
5	3.023234025
6	2.482502603
7	2.082799444
8	1.828630238
9	1.644564758
10	1.512460934
11	1.396530354
12	1.339038659
13	1.268379742
14	1.208783853
15	1.172682463
16	1.103520509
17	1.071784064
18	1.033652104
19	1.011453736
20	0.9915683642
21	0.9547763002
22	0.9295746397
23	0.9156518852
24	0.9026780472
25	0.8837818903
26	0.8657904739
27	0.8546628894
28	0.8356006173
29	0.8240451866
30	0.8032362867
31	0.763052493
32	0.7346596812
33	0.7242708179
34	0.7087542786
35	0.6980920105
36	0.6702547541
37	0.6533168144
38	0.6374550824
39	0.6215027672
40	0.6114328863
41	0.6028718087
42	0.595094766
43	0.5878665682
44	0.5793857191
45	0.5687159712
46	0.5597271696
47	0.5544602372
48	0.5449683569
49	0.5394236189
50	0.5324710574
51	0.5230487747
52	0.511509813
53	0.5071173248
54	0.4998556458
55	0.4937118983
56	0.4849678719
57	0.479575144
58	0.4753580286
59	0.4681078799
60	0.462317875
61	0.4540829209
62	0.4489574118
63	0.4459421491
64	0.4433765208
65	0.4367209972
66	0.4336140128
67	0.4285254314
68	0.4246758204
69	0.4222166243
70	0.4179181998
71	0.4146961911
72	0.4130860408
73	0.409732167
74	0.4075237908
75	0.4062075568
76	0.401166129
77	0.3986172413
78	0.3917891064
79	0.3881399035
80	0.3819559704
81	0.3764844818
82	0.3733817004
83	0.3723741298
84	0.3687165084
85	0.3647846519
86	0.3604410245
87	0.3589763984
88	0.3571066097
89	0.3542259056
90	0.35201762
91	0.3509272369
92	0.3489348577
93	0.3453060913
94	0.3438576193
95	0.3408823363
96	0.3356970641
97	0.3345326214
98	0.3311085541
99	0.3301380457
