iter	Passed	Remaining
0	3	378
1	7	364
2	10	354
3	14	348
4	18	342
5	21	336
6	25	334
7	28	331
8	32	329
9	36	325
10	39	320
11	43	316
12	46	313
13	50	308
14	53	304
15	57	301
16	61	298
17	64	295
18	68	292
19	71	287
20	75	283
21	79	280
22	82	276
23	86	273
24	89	269
25	93	265
26	96	261
27	100	257
28	103	253
29	107	250
30	110	246
31	114	242
32	117	238
33	120	234
34	124	230
35	127	226
36	130	222
37	134	218
38	137	214
39	140	211
40	144	207
41	147	203
42	150	199
43	154	196
44	157	192
45	160	188
46	164	185
47	167	181
48	170	177
49	174	174
50	177	170
51	182	168
52	185	164
53	189	161
54	192	157
55	195	153
56	199	150
57	202	146
58	206	143
59	209	139
60	214	137
61	217	133
62	221	129
63	224	126
64	228	122
65	231	119
66	234	115
67	238	112
68	241	108
69	244	104
70	248	101
71	251	97
72	255	94
73	258	90
74	261	87
75	265	83
76	268	80
77	271	76
78	275	73
79	278	69
80	282	66
81	285	62
82	288	59
83	292	55
84	295	52
85	299	48
86	302	45
87	305	41
88	309	38
89	312	34
90	316	31
91	319	27
92	322	24
93	326	20
94	329	17
95	333	13
96	336	10
97	339	6
98	343	3
99	346	0
