,PE
0,470.48509879644826
1,491.2309187997259
2,496.2255297123403
3,481.8944856710693
4,451.4960047771495
5,455.21814371233734
6,452.7043088120792
7,468.98248319736933
8,470.7569194520482
9,473.0962371262377
10,482.00848757972255
11,476.02998341132786
12,464.7585832117408
13,449.1836336495592
14,485.13142028326104
15,473.0235422482832
16,449.16854967514456
17,481.55384366027727
18,443.42948197650566
19,474.8308498579446
20,450.24649337184957
21,463.10158040403167
22,492.12342543417253
23,449.0174883111707
24,464.1989359411053
25,500.1018052957235
26,453.20168887414457
27,455.4267262334312
28,467.29190904270763
29,451.17667062826115
30,466.2424539802217
31,449.03462567206924
32,442.80544193974066
33,464.66323674771303
34,476.792357338327
35,470.5210880718084
36,480.8303344106815
37,477.7449929990653
38,443.05148359387283
39,488.1759406098304
40,486.02949795225214
41,464.67405768591317
42,472.3260009677606
43,494.2680725713183
44,455.34894284220655
45,483.0919751645455
46,453.089739577047
47,482.40880200847596
48,476.933596107359
49,445.5372691897619
50,451.02898862684634
51,455.6480141965152
52,449.25444773824495
53,444.782447948349
54,445.72769933378805
55,442.41243355968817
56,458.6638845543208
57,457.4174299698501
58,458.65569485063895
59,462.9390791013481
60,448.69699881633926
61,448.8212331549943
62,446.2131003874536
63,450.80203984437975
64,453.59696840197176
65,446.7986190194798
66,442.5180759490223
67,456.0902640134549
68,486.2617925006113
69,491.70726756750355
70,468.08051473795615
71,467.49670600743764
72,443.64350286180223
73,481.3531320931612
74,441.9329756520815
75,448.3031250740689
76,456.35990824025095
77,445.79866298923514
78,494.87796520707826
79,474.4894539153177
80,464.5926058127372
81,450.8958348078292
82,449.376100740951
83,498.59250948453484
84,477.79375384829166
85,463.1736564161423
86,448.139248732797
87,451.1151787314933
88,458.1605875268474
89,456.83520769128097
90,475.4784779510921
91,473.1725061150413
92,457.2882076613035
93,452.2681658135937
94,472.07354638406844
95,468.86795520900176
96,495.0942945659126
97,476.73752766134294
98,470.97876169669587
99,443.3170506442064
100,462.44517762307396
101,460.4082172423499
102,453.7647742395481
103,465.9552225193817
104,489.7148587780847
105,457.4471880630708
106,456.0222811179816
107,459.76564338469024
108,463.73695817517716
109,475.5282487535005
110,455.2976490131199
111,496.8018291329052
112,452.29896810648813
113,459.310016539742
114,472.3256386128954
115,442.900249714265
116,472.6997821712087
117,464.7633245366863
118,448.82602714243666
119,445.66462225727247
120,490.79475608690126
121,449.2082424467614
122,456.2637113100251
123,463.9358908522143
124,475.9053613677073
125,488.6732252167841
126,443.03211751733613
127,453.4300526674303
128,462.30536283359413
129,444.4155983973284
130,451.33688723700953
131,488.3266488456591
132,482.8187502380905
133,453.9615584683197
134,451.5593992901804
135,481.4187753895565
136,460.9076808107362
137,487.5834465242184
138,485.53936329690805
139,463.52797147844683
140,477.2050433857224
141,451.98412745200346
142,477.46344901338534
143,479.81544740596325
144,449.9552133125611
145,466.836198460869
146,457.33742448338916
147,478.6464270342346
148,454.9606529070644
149,453.24420988223085
150,441.3256015948294
151,487.8376716912636
152,474.27845693975513
153,488.50487818099316
154,489.56542956616414
155,503.7561792153133
156,450.50111143325984
157,497.3299510835744
158,441.5389414723976
159,496.41728294535613
160,457.555454533187
161,466.21705029251416
162,458.41884600314495
163,486.76062361989864
164,451.71297947272967
165,469.18898299980685
166,485.6843672778714
167,473.2309605026924
168,500.66845683084966
169,470.19194651852865
170,450.0283390687624
171,448.6556674143212
172,495.036230100983
173,497.3113874801526
174,463.1343874226163
175,496.55227571754284
176,463.57381641734855
177,450.9081215134023
178,449.8345222701197
179,457.96731447603344
180,463.15682274934034
181,488.5366244331948
182,446.37418780891767
183,480.2068805873945
184,446.95575420788845
185,480.63910265425795
186,444.79858233627493
187,497.8530268581092
188,487.3982890181736
189,447.0326906356049
190,461.28563611833636
191,476.21478519749525
192,451.4896845722718
193,452.6850989306607
194,450.77137973437084
195,486.49350726667717
196,453.1764160309146
197,465.64440552977237
198,482.3341912667137
199,451.9208337198485
200,449.195738608176
201,444.13137279096037
202,469.3445801928856
203,476.81886719091824
204,498.1058562185739
205,495.14381090743507
206,448.7450001227402
207,467.53264736864276
208,442.85782798990056
209,496.1767261146426
210,454.14814953138347
211,467.9991412882411
212,459.37515519742027
213,497.47089706820435
214,494.3383409654246
215,443.5529508351342
216,479.7596086423561
217,468.10595024755776
218,451.5385580812842
219,475.87781405383765
220,467.30474139885945
221,456.39224742659945
222,456.31115867159014
223,494.94245074189865
224,457.4921401338256
225,502.47696834297085
226,458.191120371538
227,450.8238600821213
228,484.8180419050953
229,445.07042301643025
230,479.39484737608
231,442.87457162285875
232,490.44313438316857
233,449.60375228467666
234,473.45943126854155
235,465.32016942536137
236,490.48902647583316
237,488.3634063270886
238,447.2187486887502
239,449.85457052843304
240,463.30635312172654
241,446.12763566691666
242,451.9492814012012
243,482.88365655187727
244,452.2299607758814
245,475.3020709077888
246,452.18911445658495
247,442.3522184621852
248,446.89892287073945
249,480.09732799553274
250,485.1406846803684
251,471.27527443791735
252,472.0471822756502
253,486.1139775899119
254,459.46708354967177
255,468.6566220659096
256,441.60293869810556
257,478.99813713285187
258,496.59018871954424
259,491.3994616170012
260,449.4642705994285
261,445.52790125592753
262,479.817299728658
263,476.7095008676157
264,463.73695817517716
265,446.09477628146453
266,456.72389918276167
267,494.6540531447319
268,484.2913865169318
269,489.64150273111056
270,484.17902818938654
271,444.1104033857279
272,492.6927144020664
273,443.03610525991814
274,453.78711720548137
275,457.94450373458966
276,449.70348670598617
277,459.139277782953
278,442.9937916699996
279,485.025138972652
280,458.6664651099056
281,446.8157246467604
282,451.43189005634423
283,458.7660321163021
284,494.65491133830045
285,453.808016827291
286,487.36837266359123
287,478.24751306950486
288,493.7605661044137
289,486.33665142353476
