,PE
0,473.1979025315012
1,491.8843202099872
2,495.0850831153739
3,480.88442055411986
4,448.3383932829795
5,460.10993079274175
6,456.69519776580864
7,462.82117022642024
8,474.69507669899895
9,473.84250709744265
10,477.3787431473518
11,473.0386603162062
12,462.14105871079937
13,446.71009385612757
14,487.71533045900566
15,478.77905605919324
16,448.7486192693736
17,471.7569816230544
18,446.75211523991146
19,478.9933847997993
20,456.0025935351816
21,460.7342593900357
22,492.862902430575
23,449.3423227461192
24,459.9401496626162
25,499.0287529600548
26,456.29893803196444
27,462.69045586371215
28,470.31057502359425
29,446.2863718755581
30,470.17330216754266
31,449.3765770529999
32,442.91974969305085
33,470.0921152246016
34,475.0477053323998
35,469.9192625208556
36,486.2494329468394
37,484.8798653537052
38,444.2760333553492
39,493.99502323628917
40,492.64016593876534
41,471.24133622415195
42,475.1769196286833
43,492.2893612184658
44,456.84946635929
45,485.46074239589433
46,457.61137776725946
47,482.9115739009475
48,477.79159331167415
49,444.74661376221025
50,452.01554452877065
51,441.2442654028474
52,449.6862958563722
53,447.1524087112596
54,440.2762693004213
55,444.27164983493947
56,459.9647118497581
57,451.53144373063145
58,465.4667808553575
59,459.74331009619675
60,441.8244553418143
61,447.9099121420337
62,445.97557592879514
63,448.61721468919484
64,449.12141701280046
65,444.012103724733
66,441.7594741417807
67,452.55565844294256
68,486.3804305680268
69,491.2463076242337
70,470.73104527469127
71,468.9354352904473
72,442.87390217186726
73,482.2343332634111
74,441.3458640720158
75,449.0741545971729
76,456.9440956026317
77,446.87590358300776
78,498.4150420007184
79,469.42828560793134
80,461.9014249547268
81,443.99619784294475
82,448.8144909263652
83,499.133179169335
84,473.55308622470795
85,466.5302356067245
86,448.1970696922581
87,446.77468401009133
88,455.8531652048747
89,452.87702720926876
90,478.4829756395846
91,474.90639094717983
92,461.83933081200655
93,453.0945050494662
94,474.5298518986847
95,470.73047972869176
96,495.1790648981411
97,476.1879627032211
98,470.1531816543402
99,444.6656051858845
100,464.23003342015215
101,461.2462016775686
102,454.1781603471644
103,459.78874615832456
104,487.01213463478706
105,455.43496516306044
106,453.6324723915296
107,463.4051026934525
108,462.5953178996769
109,476.66984461231146
110,454.638100750133
111,489.4445806930295
112,454.6279018841991
113,460.36058704799
114,477.2064901237426
115,443.94539932988636
116,479.5074244638204
117,468.7562617437984
118,447.6616649935939
119,446.7278055153587
120,483.0104038222161
121,446.91039111791275
122,457.8260246269871
123,464.0799754271241
124,470.6283284943341
125,486.191860609981
126,440.9528788275258
127,458.06237602726594
128,460.5420732941763
129,446.80667121846324
130,454.9572215076568
131,491.3637792182568
132,483.24511765389553
133,456.400048791969
134,448.91283683862343
135,483.7954140887215
136,466.8790116373945
137,489.042742666184
138,481.0472640499515
139,462.43652844654343
140,474.8713592140123
141,457.60965572727406
142,480.5369869555418
143,482.01681484513307
144,448.57900768986525
145,474.98352890207553
146,458.94106442336243
147,482.21788989874807
148,449.53821694319544
149,449.7109834659873
150,445.58483981545385
151,484.0785212661357
152,474.50728237201776
153,487.6628587807801
154,486.96696873605777
155,502.34178670695246
156,452.2287666128899
157,493.12184988151296
158,446.0152054255832
159,497.73273510167945
160,455.4510732792961
161,466.6427202417987
162,453.08691283026894
163,492.19363392654907
164,456.3777099623941
165,470.4417174653987
166,486.63087711542954
167,481.14432708939194
168,500.4608987395115
169,467.9457063739647
170,451.38589691977614
171,442.93074006089597
172,493.94684983825164
173,499.4826955559601
174,467.2691228712552
175,490.140762442854
176,469.4952571369911
177,455.1678775842955
178,449.2757540854468
179,455.25319782847026
180,462.35335767851507
181,487.3025507475824
182,441.6200761968387
183,479.21191170360004
184,447.0038102449085
185,478.0896001572509
186,446.4010054380541
187,495.51751324793184
188,494.1920121475439
189,444.4683704314066
190,465.3548621424565
191,481.93821154242744
192,448.94174097177506
193,450.17953899895866
194,445.8051795490795
195,490.906288042588
196,458.2035182256518
197,469.61486531382303
198,484.90738974415564
199,451.3813996942528
200,450.32726042410553
201,442.61038183347955
202,467.0263023513353
203,473.9721323115559
204,496.3760807463125
205,496.0348896713761
206,447.37495216653963
207,464.58933555112145
208,444.95466788052784
209,499.1210321412611
210,453.411091395769
211,463.5989712561621
212,450.707842203614
213,498.33188364414906
214,493.1292886574364
215,452.80712898514435
216,478.7114969679336
217,469.93075156358327
218,452.0490000329447
219,479.589185485446
220,466.7579840373336
221,444.9471466059724
222,454.15155795144824
223,490.17607676641956
224,458.28374394450105
225,502.8674304879643
226,461.0872066480778
227,455.7974832774858
228,474.7631601266467
229,446.3139856292359
230,478.16647903715386
231,439.32063341079146
232,488.46866152615274
233,450.5733767191708
234,474.44840862936115
235,465.02205091865784
236,489.07062049714244
237,491.6412827217119
238,446.1471788896815
239,449.0699120370687
240,470.2773869037929
241,444.9442925648778
242,460.36385146557245
243,480.87277273556185
244,455.1727602163423
245,471.5174045974175
246,452.3713387835383
247,445.5664272460068
248,453.12632050421604
249,480.10450998191624
250,483.80668459673245
251,469.4917935032412
252,471.1046131495059
253,486.44191055535515
254,460.8605546467287
255,468.0039707628718
256,446.5476178473166
257,475.0707129836285
258,492.80624170424727
259,494.2731942146785
260,447.2053365405437
261,447.21376365461884
262,478.8052895940595
263,479.74289189602007
264,462.5953178996769
265,445.98767118635516
266,456.89122836688847
267,495.0718901270275
268,481.9459679546579
269,489.75131107007905
270,485.1499526303015
271,446.73975131824517
272,484.7581359934078
273,447.57100329067526
274,456.1333705441419
275,457.3619405008098
276,457.39680606114786
277,452.5231605228067
278,442.31680598335413
279,481.92725225585616
