iter	MultiClassOneVsAll
0	0.674857826
1	0.6576409033
2	0.6410974628
3	0.6254768537
4	0.6109977237
5	0.5973087511
6	0.584087171
7	0.571831813
8	0.5599388057
9	0.5488777839
10	0.5381693711
11	0.5282380073
12	0.5187949528
13	0.5095857005
14	0.500832122
15	0.4927239336
16	0.4847746108
17	0.4774169099
18	0.4702123179
19	0.46334934
20	0.4568089865
21	0.4505719647
22	0.4446292539
23	0.4389608902
24	0.4335540325
25	0.4285413472
26	0.4237317076
27	0.4190188789
28	0.4145178852
29	0.4103572717
30	0.4063755453
31	0.4024432831
32	0.3988193798
33	0.3952301087
34	0.3917721455
35	0.3886032254
36	0.3854658694
37	0.3824541623
38	0.3796984653
39	0.3769466163
40	0.374328634
41	0.3718269501
42	0.3694362996
43	0.3672431547
44	0.3650502507
45	0.3629543933
46	0.3609512941
47	0.3590368223
48	0.3572815178
49	0.355604865
50	0.3539213352
51	0.3523204022
52	0.3508121995
53	0.3493128937
54	0.3479119471
55	0.3466238624
56	0.3453401819
57	0.3441630524
58	0.3430141802
59	0.3419245996
60	0.3409054694
61	0.3398894204
62	0.3388659119
63	0.3379753071
64	0.3370363561
65	0.3361390889
66	0.3352816894
67	0.3345322692
68	0.3338244092
69	0.3331401796
70	0.3324440461
71	0.3317798491
72	0.3311349941
73	0.3305094808
74	0.3299752396
75	0.3294550099
76	0.328922896
77	0.3284050856
78	0.3279486849
79	0.3274526476
80	0.3269832439
81	0.3265495391
82	0.3261192246
83	0.3257009294
84	0.3253119255
85	0.3249300587
86	0.3246079779
87	0.3242590294
88	0.3239220479
89	0.3236005421
90	0.3233196962
91	0.3230519509
92	0.3227842707
93	0.3225394794
94	0.3223060277
95	0.322084912
96	0.3218580238
97	0.3216529731
98	0.3214424727
99	0.321245891
