iter	Passed	Remaining
0	13	1379
1	27	1342
2	40	1315
3	53	1283
4	66	1268
5	79	1249
6	92	1233
7	105	1217
8	118	1199
9	131	1184
10	144	1168
11	157	1156
12	170	1142
13	184	1134
14	197	1119
15	211	1108
16	224	1094
17	237	1082
18	250	1067
19	263	1052
20	275	1038
21	288	1023
22	301	1009
23	314	995
24	327	982
25	340	969
26	353	955
27	367	944
28	386	947
29	402	939
30	417	929
31	430	915
32	444	901
33	457	889
34	471	875
35	484	860
36	497	846
37	510	833
38	525	821
39	538	808
40	551	794
41	564	779
42	576	764
43	589	750
44	602	736
45	615	722
46	629	709
47	642	695
48	655	682
49	669	669
50	682	655
51	697	643
52	710	630
53	723	616
54	739	605
55	752	591
56	766	577
57	779	564
58	792	550
59	806	537
60	822	525
61	841	515
62	857	503
63	876	492
64	892	480
65	914	471
66	932	459
67	956	450
68	974	437
69	992	425
70	1011	412
71	1034	402
72	1051	389
73	1073	377
74	1091	363
75	1110	350
76	1123	335
77	1136	320
78	1149	305
79	1161	290
80	1174	275
81	1187	260
82	1201	246
83	1213	231
84	1227	216
85	1240	201
86	1255	187
87	1269	173
88	1282	158
89	1295	143
90	1308	129
91	1321	114
92	1334	100
93	1347	86
94	1360	71
95	1373	57
96	1386	42
97	1399	28
98	1412	14
99	1427	0
