iter	MultiClassOneVsAll
0	0.6834824018
1	0.6745858756
2	0.6663442718
3	0.6585622917
4	0.6508028364
5	0.6432234981
6	0.6361799438
7	0.6293866932
8	0.6228717743
9	0.6167803296
10	0.6110029981
11	0.6054778932
12	0.6007160926
13	0.595915613
14	0.5909978703
15	0.5869288302
16	0.5825455832
17	0.5782731124
18	0.57419143
19	0.57047509
20	0.566761161
21	0.5633657907
22	0.5601086321
23	0.5571995583
24	0.5541087433
25	0.5513695659
26	0.5486084176
27	0.5463326265
28	0.5436959781
29	0.5410139472
30	0.5385487122
31	0.5360263988
32	0.5335632404
33	0.5313206548
34	0.5291306083
35	0.5270407573
36	0.5250648065
37	0.5230531828
38	0.5212522768
39	0.5195203714
40	0.5179005945
41	0.5162881804
42	0.5147591102
43	0.5132922456
44	0.5118577448
45	0.5104854113
46	0.5092917181
47	0.5080680409
48	0.5068125888
49	0.5056124714
50	0.5045228854
51	0.5033066299
52	0.5023227321
53	0.501234838
54	0.5003834869
55	0.4994629414
56	0.4985704598
57	0.4976672672
58	0.4967167404
59	0.4960799471
60	0.4953184141
61	0.4944247153
62	0.4937410291
63	0.4928927677
64	0.4922335536
65	0.4915352777
66	0.4907839772
67	0.4900746074
68	0.4894206668
69	0.4887331531
70	0.4882072823
71	0.487576177
72	0.4870351206
73	0.4864598226
74	0.4859672199
75	0.4853942697
76	0.4849238663
77	0.4844156732
78	0.4839075365
79	0.4834812009
80	0.4830552442
81	0.4825692688
82	0.4821883336
83	0.4818508034
84	0.481396234
85	0.4810164133
86	0.4805633735
87	0.4801306224
88	0.479855458
89	0.4795407878
90	0.4792556824
91	0.478859855
92	0.4785407043
93	0.4782200222
94	0.4778875362
95	0.4775676455
96	0.4772865914
97	0.4769551847
98	0.4767029187
99	0.4764810077
100	0.4761558153
101	0.4758163839
102	0.4755443814
103	0.4753091816
104	0.4751314021
105	0.4749018109
106	0.474626332
107	0.4743378685
108	0.4741883026
109	0.474001282
110	0.4737247592
111	0.4734612096
