iter	Passed	Remaining
0	61	61201
1	71	35793
2	81	27073
3	88	22009
4	95	18994
5	102	17063
6	109	15563
7	116	14453
8	123	13626
9	127	12668
10	132	11892
11	139	11478
12	146	11133
13	154	10850
14	161	10586
15	165	10193
16	172	9988
17	179	9808
18	184	9512
19	188	9254
20	196	9141
21	200	8916
22	205	8719
23	209	8532
24	216	8449
25	221	8280
26	225	8125
27	229	7975
28	234	7838
29	238	7718
30	245	7689
31	252	7652
32	259	7604
33	264	7507
34	268	7402
35	272	7306
36	277	7212
37	281	7128
38	285	7042
39	290	6962
40	294	6884
41	298	6811
42	302	6741
43	307	6675
44	311	6613
45	315	6551
46	320	6491
47	324	6435
48	328	6380
49	335	6374
50	339	6320
51	343	6269
52	348	6225
53	355	6219
54	359	6175
55	363	6129
56	367	6087
57	372	6044
58	377	6012
59	381	5972
60	385	5938
61	390	5907
62	395	5875
63	399	5843
64	403	5809
65	408	5774
66	412	5742
67	416	5714
68	422	5703
69	426	5672
70	431	5643
71	438	5646
72	442	5615
73	446	5588
74	451	5571
75	460	5597
76	465	5575
77	470	5557
78	475	5545
79	483	5560
80	488	5541
81	493	5523
82	498	5509
83	503	5490
84	511	5506
85	519	5519
86	524	5499
87	529	5483
88	533	5465
89	541	5476
90	547	5470
91	555	5481
92	560	5464
93	565	5448
94	570	5435
95	575	5414
96	581	5416
97	586	5394
98	592	5391
99	596	5372
100	601	5354
101	608	5358
102	612	5338
103	617	5319
104	623	5317
105	628	5301
106	633	5284
107	640	5286
108	644	5270
109	649	5252
110	656	5255
111	661	5243
112	666	5232
113	670	5214
114	675	5197
115	680	5183
116	684	5167
117	688	5149
118	696	5155
119	701	5142
120	706	5130
121	711	5118
122	715	5104
123	720	5091
124	725	5076
125	729	5062
126	737	5066
127	742	5057
128	747	5049
129	752	5035
130	757	5027
131	765	5030
132	769	5019
133	778	5029
134	783	5019
135	787	5004
136	792	4991
137	796	4978
138	801	4965
139	806	4952
140	811	4943
141	815	4929
142	820	4916
143	824	4901
144	829	4889
145	836	4890
146	840	4876
147	847	4877
148	851	4863
149	855	4849
150	860	4837
151	864	4823
152	869	4811
153	875	4808
154	879	4796
155	884	4785
156	888	4773
157	893	4761
158	898	4750
159	904	4750
160	909	4737
161	916	4739
162	920	4727
163	924	4714
164	929	4703
165	934	4692
166	938	4681
167	944	4679
168	951	4678
169	959	4682
170	965	4682
171	973	4688
172	979	4680
173	983	4670
174	988	4658
175	992	4647
176	997	4636
177	1001	4625
178	1006	4615
179	1010	4605
180	1017	4602
181	1021	4590
182	1027	4587
183	1031	4576
184	1036	4564
185	1040	4553
186	1047	4553
187	1051	4542
188	1056	4531
189	1060	4521
190	1064	4510
191	1069	4500
192	1076	4501
193	1080	4490
194	1085	4479
195	1089	4468
196	1093	4458
197	1098	4447
198	1102	4437
199	1109	4438
200	1113	4427
201	1118	4417
202	1122	4407
203	1127	4401
204	1132	4392
205	1137	4385
206	1142	4376
207	1147	4367
208	1152	4362
209	1158	4359
210	1163	4351
211	1168	4343
212	1176	4346
213	1181	4339
214	1186	4330
215	1190	4322
216	1196	4315
217	1200	4307
218	1208	4309
219	1213	4302
220	1223	4313
221	1228	4306
222	1234	4302
223	1243	4306
224	1248	4300
225	1253	4291
226	1257	4281
227	1263	4276
228	1267	4267
229	1274	4266
230	1279	4258
231	1283	4249
232	1290	4247
233	1294	4238
234	1299	4230
235	1304	4221
236	1308	4212
237	1313	4206
238	1320	4204
239	1324	4195
240	1329	4185
241	1333	4176
242	1337	4167
243	1345	4168
244	1351	4165
245	1356	4158
246	1361	4150
247	1365	4141
248	1369	4131
249	1374	4123
250	1378	4114
251	1383	4105
252	1387	4097
253	1394	4095
254	1398	4085
255	1403	4078
256	1407	4070
257	1412	4063
258	1419	4061
259	1423	4052
260	1428	4043
261	1432	4035
262	1437	4027
263	1441	4019
264	1446	4011
265	1451	4004
266	1455	3995
267	1460	3989
268	1465	3981
269	1469	3973
270	1473	3964
271	1478	3956
272	1482	3948
273	1489	3947
274	1494	3938
275	1500	3937
276	1505	3929
277	1510	3922
278	1517	3921
279	1524	3919
280	1528	3911
281	1533	3903
282	1537	3895
283	1541	3886
284	1546	3880
285	1554	3879
286	1561	3878
287	1568	3878
288	1576	3877
289	1580	3870
290	1587	3867
291	1591	3859
292	1596	3851
293	1603	3849
294	1607	3841
295	1611	3833
296	1616	3825
297	1622	3823
298	1627	3815
299	1633	3812
300	1638	3804
301	1642	3796
302	1649	3794
303	1653	3786
304	1658	3779
305	1662	3771
306	1667	3763
307	1672	3757
308	1678	3754
309	1686	3752
310	1690	3745
311	1695	3738
312	1699	3730
313	1704	3723
314	1708	3716
315	1713	3709
316	1718	3703
317	1724	3698
318	1729	3691
319	1734	3685
320	1739	3679
321	1744	3673
322	1749	3666
323	1755	3662
324	1760	3656
325	1765	3649
326	1770	3643
327	1774	3636
328	1779	3628
329	1784	3623
330	1789	3617
331	1796	3615
332	1801	3609
333	1806	3601
334	1810	3594
335	1815	3588
