id,risk_flag
1,1
2,1
3,1
4,0
5,1
6,0
7,1
8,1
9,1
10,1
11,0
12,1
13,0
14,0
15,1
16,0
17,1
18,0
19,0
20,1
21,1
22,0
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,0
32,1
33,0
34,1
35,1
36,1
37,0
38,0
39,1
40,1
41,0
42,1
43,1
44,0
45,1
46,0
47,0
48,1
49,0
50,1
51,1
52,0
53,1
54,1
55,0
56,0
57,1
58,1
59,1
60,1
61,1
62,1
63,0
64,1
65,1
66,1
67,1
68,1
69,0
70,0
71,1
72,1
73,1
74,1
75,0
76,0
77,0
78,1
79,1
80,1
81,1
82,1
83,0
84,0
85,1
86,0
87,0
88,1
89,0
90,0
91,0
92,1
93,1
94,1
95,1
96,0
97,1
98,1
99,0
100,1
101,1
102,1
103,0
104,1
105,1
106,0
107,1
108,1
109,1
110,0
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,0
121,1
122,0
123,0
124,1
125,1
126,1
127,1
128,1
129,1
130,0
131,0
132,1
133,0
134,0
135,1
136,0
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,0
145,1
146,0
147,0
148,0
149,1
150,1
151,0
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,1
160,0
161,1
162,0
163,1
164,1
165,0
166,1
167,1
168,1
169,0
170,0
171,0
172,1
173,0
174,1
175,0
176,0
177,1
178,0
179,1
180,1
181,1
182,1
183,1
184,1
185,1
186,0
187,1
188,0
189,0
190,0
191,1
192,1
193,1
194,1
195,1
196,0
197,1
198,1
199,1
200,0
201,0
202,1
203,0
204,0
205,1
206,1
207,0
208,0
209,0
210,0
211,1
212,1
213,1
214,1
215,0
216,0
217,1
218,0
219,0
220,0
221,1
222,0
223,1
224,1
225,0
226,1
227,0
228,0
229,1
230,1
231,0
232,0
233,1
234,1
235,0
236,1
237,0
238,1
239,0
240,1
241,0
242,1
243,0
244,1
245,0
246,1
247,0
248,0
249,1
250,0
251,0
252,1
253,1
254,1
255,1
256,1
257,0
258,1
259,1
260,1
261,0
262,1
263,1
264,0
265,1
266,1
267,0
268,0
269,1
270,0
271,0
272,0
273,0
274,1
275,1
276,0
277,0
278,1
279,1
280,1
281,0
282,1
283,0
284,1
285,1
286,1
287,0
288,1
289,1
290,0
291,1
292,0
293,1
294,1
295,1
296,1
297,1
298,0
299,0
300,0
301,1
302,0
303,1
304,1
305,1
306,1
307,0
308,1
309,1
310,0
311,1
312,0
313,1
314,1
315,1
316,0
317,1
318,1
319,0
320,0
321,0
322,1
323,0
324,1
325,0
326,0
327,1
328,0
329,0
330,1
331,0
332,0
333,1
334,0
335,1
336,0
337,0
338,1
339,1
340,1
341,1
342,1
343,0
344,1
345,1
346,1
347,0
348,0
349,1
350,1
351,1
352,0
353,1
354,1
355,0
356,1
357,0
358,1
359,1
360,0
361,0
362,1
363,1
364,1
365,1
366,0
367,1
368,1
369,1
370,1
371,1
372,1
373,0
374,0
375,0
376,1
377,1
378,0
379,0
380,1
381,1
382,0
383,1
384,0
385,1
386,1
387,1
388,1
389,0
390,0
391,1
392,0
393,1
394,1
395,1
396,0
397,1
398,0
399,1
400,0
401,1
402,1
403,1
404,1
405,1
406,0
407,1
408,1
409,0
410,1
411,0
412,1
413,0
414,1
415,0
416,0
417,1
418,1
419,1
420,1
421,0
422,0
423,1
424,0
425,1
426,1
427,0
428,1
429,1
430,0
431,1
432,1
433,0
434,1
435,0
436,0
437,0
438,1
439,1
440,0
441,1
442,0
443,1
444,0
445,1
446,0
447,0
448,1
449,1
450,1
451,0
452,1
453,1
454,1
455,0
456,1
457,1
458,0
459,0
460,1
461,1
462,1
463,1
464,1
465,1
466,0
467,0
468,0
469,0
470,1
471,1
472,1
473,1
474,1
475,1
476,0
477,0
478,0
479,1
480,1
481,1
482,0
483,1
484,1
485,1
486,1
487,0
488,1
489,1
490,1
491,1
492,1
493,1
494,1
495,1
496,0
497,1
498,0
499,0
500,1
501,1
502,1
503,1
504,1
505,0
506,1
507,1
508,0
509,1
510,0
511,0
512,1
513,0
514,1
515,1
516,1
517,1
518,1
519,0
520,1
521,1
522,0
523,1
524,0
525,1
526,1
527,1
528,1
529,0
530,0
531,1
532,1
533,0
534,1
535,0
536,1
537,0
538,1
539,0
540,1
541,0
542,0
543,1
544,1
545,1
546,0
547,1
548,1
549,0
550,1
551,0
552,1
553,1
554,1
555,1
556,0
557,1
558,0
559,0
560,0
561,1
562,1
563,1
564,1
565,0
566,0
567,1
568,1
569,1
570,0
571,0
572,1
573,1
574,1
575,0
576,1
577,1
578,1
579,0
580,1
581,1
582,1
583,1
584,1
585,1
586,0
587,0
588,1
589,1
590,0
591,1
592,1
593,0
594,0
595,1
596,0
597,0
598,1
599,1
600,0
601,1
