iter	F1	Logloss
0	0.7407698169	0.6268783453
1	0.7407698169	0.5767528883
2	0.7407698169	0.532356172
3	0.7719019616	0.5058879633
4	0.7719019616	0.4841632959
5	0.7719019616	0.4641935669
6	0.8033071738	0.4506261213
7	0.8021667983	0.4415683884
8	0.8118703749	0.4238396868
9	0.8235465783	0.4103334972
10	0.8266383457	0.3943035052
11	0.8311252795	0.3858933851
12	0.8345548632	0.3749075545
13	0.8359434201	0.3678359952
14	0.8352752448	0.3604383439
15	0.8363674673	0.355163154
16	0.8336631557	0.3496082159
17	0.8388139257	0.3462925662
18	0.8452403314	0.3389179591
19	0.8475628816	0.3374227061
20	0.8470372072	0.3315100783
21	0.8465780897	0.3283417812
22	0.8474675474	0.3244586764
23	0.8485012941	0.3226168193
24	0.8501543081	0.3202301683
25	0.8504706054	0.3174871713
26	0.8519313752	0.3138450491
27	0.8527694361	0.3109104577
28	0.8544831169	0.3084627913
29	0.8545537872	0.305593203
30	0.8544207476	0.3052581378
31	0.855337518	0.3021290883
32	0.8604583455	0.2908186311
33	0.8599029793	0.2896455557
34	0.8609751526	0.2857108844
35	0.8615961659	0.2834166755
36	0.8615294756	0.2828592341
37	0.8619962854	0.2809493593
38	0.8623071946	0.2801734534
39	0.8623830214	0.2795647579
40	0.8661732513	0.2725801796
41	0.8663632948	0.272130886
42	0.8666095282	0.2710443959
43	0.866705715	0.2705143772
44	0.866959799	0.2700610583
45	0.8672836921	0.269283021
46	0.8673033425	0.2687238146
47	0.8674153537	0.2676888222
48	0.8677332887	0.2671252014
49	0.8679395553	0.2666820455
50	0.8683742068	0.2662756021
51	0.869452353	0.2625713188
52	0.8694741253	0.2621538241
53	0.8701698536	0.2616775629
54	0.87032654	0.2595207306
55	0.8708684822	0.2591267999
56	0.870815801	0.2590166683
57	0.8710770776	0.2586968667
58	0.871188498	0.2584932622
59	0.8713442952	0.2581252825
60	0.871363389	0.2578721057
61	0.8718785293	0.2575567649
62	0.8723146368	0.2572085774
63	0.8726163871	0.2568788304
64	0.8725625287	0.2566419274
65	0.8728728729	0.2563954183
66	0.8727834105	0.2559959
67	0.8724851824	0.255764533
68	0.8725655958	0.2554935803
69	0.8723759442	0.2553311995
70	0.8725459515	0.2551823699
71	0.8730291149	0.254842532
72	0.8731501938	0.2546790622
73	0.873431965	0.2542990409
74	0.8733180587	0.2540745776
75	0.8734636057	0.2538276755
76	0.8736962631	0.253701864
77	0.8737451577	0.2525215094
78	0.8738414113	0.2519722524
79	0.8742350443	0.2516778412
80	0.8743417355	0.2515083241
81	0.8744145382	0.2512509073
82	0.8743599351	0.2512039808
83	0.874575989	0.250903411
84	0.874648796	0.2506690928
85	0.8747034092	0.2503350194
86	0.8753899264	0.2499067686
87	0.8758417159	0.2497541346
88	0.8762415326	0.2491424952
89	0.8763634097	0.2491142568
90	0.8763274382	0.2490076119
91	0.8765267968	0.2489106763
92	0.8764642353	0.2488151282
93	0.8766042281	0.2487708836
94	0.876837472	0.2486479723
95	0.8769256322	0.2485162743
96	0.8771303427	0.2483096821
97	0.8769438389	0.2482271671
98	0.8769358522	0.248172986
99	0.8770364221	0.2479625078
100	0.8772592393	0.2478922297
101	0.8772876292	0.2478229377
102	0.8773007408	0.2477483557
103	0.8773160155	0.2476460628
104	0.877708882	0.2475046994
105	0.8777969019	0.2474643568
106	0.877705897	0.247299569
107	0.8777959742	0.2471253866
108	0.8777312492	0.2471036594
109	0.877789982	0.2469004656
110	0.8778880623	0.2468121278
111	0.8780043096	0.2466863225
112	0.8783176215	0.2464993782
113	0.8782468205	0.246349703
114	0.8782932891	0.2456745176
115	0.8787144603	0.24551734
116	0.8788261346	0.2453704207
117	0.8787295277	0.2451594679
118	0.878806069	0.2450319929
119	0.8790035587	0.2448965398
120	0.8789157873	0.2448674869
121	0.8793367241	0.2447253683
122	0.8793830632	0.2446429952
123	0.8793335125	0.244526999
124	0.879682625	0.2444192812
125	0.8796975394	0.2443542342
126	0.8798727457	0.2442885415
127	0.880038011	0.2441549648
128	0.8799900869	0.2439592719
129	0.8799653151	0.2438620632
130	0.8802492829	0.2436548957
131	0.8804325395	0.2435019885
132	0.88057269	0.2434371623
133	0.8807426509	0.243365857
134	0.8808728293	0.2432670006
135	0.8808069973	0.2431621593
136	0.8808497473	0.2431065797
137	0.8807411381	0.2429711061
138	0.8808762557	0.2429221017
139	0.8808183299	0.2428386805
140	0.8808792296	0.2426600305
141	0.8813720034	0.2422080205
142	0.881703145	0.2420107472
143	0.8820026785	0.2417376785
144	0.8820620596	0.2416817752
145	0.8820850932	0.241677491
146	0.8819990936	0.2416179337
147	0.8820451549	0.2415872989
148	0.8820912125	0.2414775639
149	0.8821663921	0.2414388226
150	0.8822088163	0.2413928899
151	0.8822088163	0.2413884696
152	0.8823093395	0.2413566541
153	0.8825732631	0.2410027987
154	0.8826519064	0.2408993896
155	0.8826204144	0.2408659673
156	0.8828369261	0.2405817639
157	0.8827994816	0.2404957465
158	0.882903644	0.2403760438
159	0.882903644	0.24037045
160	0.8830041152	0.240334338
161	0.8844405127	0.2376334401
162	0.884537058	0.2375835035
163	0.885840617	0.2355500088
164	0.8866691331	0.2339759802
165	0.8874329958	0.232656698
166	0.887817488	0.2317205995
167	0.8888934435	0.2307278481
168	0.8893576929	0.2299400242
169	0.889753142	0.2292187486
170	0.8896848138	0.2291933342
171	0.8899930479	0.2286050442
172	0.8899106942	0.2284457314
173	0.8900780197	0.2283627707
174	0.8899238107	0.2282957801
175	0.8899599706	0.2281978435
176	0.8900778011	0.2281671806
177	0.8909913951	0.2274667746
178	0.8911407891	0.2273715699
179	0.8918230536	0.2264228839
180	0.8918318698	0.2262631983
181	0.8919221758	0.2262594654
182	0.891741026	0.2262031914
183	0.8917680132	0.226194357
184	0.8919210639	0.2261836604
185	0.8918396025	0.2261104398
186	0.8918401434	0.2260242267
187	0.8919711597	0.2258653355
188	0.8920162933	0.2258225291
189	0.893000346	0.2250821865
190	0.8929734571	0.2250154993
191	0.8929414638	0.2250153781
192	0.8930635838	0.2250018095
193	0.8931398685	0.2248938528
194	0.8930940463	0.2248801906
195	0.893120918	0.2248761655
196	0.8932066489	0.2248654276
197	0.8931979571	0.2248367666
198	0.8932698568	0.2248322598
199	0.8933287217	0.2247708861
200	0.8936594092	0.224186739
201	0.8937986544	0.2241341696
202	0.8937398374	0.2241156444
203	0.8937839101	0.2240952742
204	0.893866103	0.2239815942
205	0.893888584	0.2239719524
206	0.8940292445	0.2235137994
207	0.8940741643	0.2235123599
208	0.8946033164	0.2230897923
209	0.8946385811	0.2227844812
210	0.8949942171	0.2224890316
211	0.8951468917	0.2224783439
212	0.8951917225	0.2224721264
213	0.8952802061	0.2222117986
214	0.8953752535	0.2221469826
215	0.8951275914	0.2220745129
216	0.895281373	0.2220377962
217	0.8952844539	0.2220123573
218	0.8955726367	0.2218091234
219	0.8956525266	0.2217328597
220	0.8956343654	0.2217306585
221	0.8954987835	0.2216834695
222	0.8954987835	0.2216690872
223	0.8954624711	0.2216597927
224	0.8954624711	0.2216531189
225	0.8955562764	0.2216485233
226	0.8955381216	0.2216371904
227	0.8955465915	0.2216078574
228	0.8955828992	0.221594463
229	0.8955828992	0.22159444
230	0.895668214	0.221555585
231	0.8957535218	0.2215378771
232	0.8957311388	0.2215349679
233	0.8957129827	0.2215337148
234	0.8957087548	0.2215051521
235	0.8958945768	0.2214365971
236	0.8958286861	0.2213415146
237	0.8958426283	0.2212424057
238	0.8958286861	0.2212011932
239	0.8959743787	0.2211277786
240	0.8959967569	0.2211255756
241	0.896013935	0.2208493271
242	0.8959649976	0.2207837958
243	0.8961173111	0.2206853401
244	0.8961843811	0.2204790748
245	0.8961480821	0.2204555682
246	0.8961843811	0.2204505283
