id,risk_flag
1,0
2,0
3,0
4,1
5,0
6,0
7,0
8,1
9,0
10,1
11,1
12,0
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,0
21,1
22,1
23,1
24,0
25,1
26,1
27,0
28,0
29,1
30,1
31,1
32,1
33,0
34,0
35,1
36,0
37,1
38,1
39,0
40,0
41,1
42,0
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,0
52,1
53,0
54,0
55,1
56,1
57,0
58,1
59,1
60,1
61,0
62,1
63,1
64,0
65,1
66,0
67,0
68,0
69,0
70,1
71,1
72,1
73,0
74,0
75,1
76,1
77,1
78,0
79,1
80,1
81,1
82,0
83,1
84,1
85,1
86,0
87,1
88,0
89,1
90,0
91,1
92,0
93,1
94,0
95,1
96,1
97,0
98,0
99,1
100,1
101,0
102,0
103,1
104,0
105,1
106,1
107,1
108,0
109,0
110,1
111,0
112,1
113,1
114,1
115,0
116,1
117,1
118,0
119,1
120,1
121,0
122,1
123,0
124,0
125,0
126,1
127,0
128,0
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,0
139,1
140,0
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,0
151,1
152,0
153,0
154,0
155,1
156,0
157,1
158,0
159,0
160,1
161,1
162,1
163,0
164,0
165,1
166,1
167,0
168,0
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,1
178,0
179,0
180,0
181,0
182,0
183,1
184,1
185,1
186,1
187,0
188,1
189,1
190,1
191,1
192,0
193,0
194,0
195,1
196,1
197,1
198,1
199,0
200,1
201,1
202,0
203,1
204,1
205,1
206,0
207,1
208,1
209,1
210,1
211,1
212,1
213,1
214,0
215,1
216,1
217,1
218,1
219,1
220,1
221,1
222,1
223,1
224,1
225,1
226,0
227,1
228,1
229,1
230,1
231,1
232,1
233,0
234,0
235,1
236,1
237,1
238,1
239,1
240,0
241,1
242,1
243,1
244,0
245,0
246,1
247,1
248,1
249,0
250,0
251,1
252,0
253,0
254,0
255,0
256,0
257,1
258,1
259,0
260,0
261,1
262,1
263,1
264,1
265,0
266,1
267,1
268,1
269,0
270,0
271,1
272,0
273,1
274,1
275,0
276,1
277,1
278,0
279,0
